Key,Issue Type,Summary,Issue Priority,Status,Updated,Status Update,Description
IPFEAT-307,IP Feature,PRD [Other] Alexandria shall be developed with AEC-Q100 Grade 2 qualification process as applicable to soft IP (Reliability),P2_Normal,Backlog,5/23/2025,,PRD [Other] Alexandria shall be developed with AEC-Q100 Grade 2 qualification process as applicable to soft IP
IPFEAT-305,IP Feature,PRD [Other] Alexandria shall be fully synthesizable RTL soft IP,P2_Normal,Backlog,5/23/2025,,PRD [Other] Alexandria shall be a fully synthesizable soft IP
IPFEAT-304,IP Feature,PRD [Other] Alexandria shall support the ability for individual CPU cores to have run-time LBIST,P2_Normal,Backlog,5/23/2025,,PRD [Other] Alexandria shall support the ability for individual CPU cores to have LBIST run on them at runtime
IPFEAT-309,IP Feature,PRD [Other] Evaluate FIRRTL/CHISEL datapath in Ascalon D8 implications for Auto,P2_Normal,Backlog,4/30/2025,,PRD [Other] Evaluate FIRRTL/CHISEL datapath in Ascalon D8 implications for Auto
IPFEAT-254,IP Feature,PRD [PDK]  Alexandria shall use the target process node for SOP of TSMC N5A,P0_Showstopper,Backlog,4/30/2025,,Alexandria shall use the target process node for SOP of TSMC N5A
IPFEAT-256,IP Feature,PRD [PDK] Alexandria may use the target process node for SOP of TSMC N7A,P2_Normal,Backlog,5/23/2025,, Alexandria may use the target process node for SOP of TSMC N7A
IPFEAT-255,IP Feature,PRD [PDK] Alexandria may use the target process node for SOP of TSMC N4,P1_Major,Backlog,5/23/2025,,Alexandria may use the target process node for SOP of TSMC N4
IPFEAT-272,IP Feature,PRD [Perf] Alexandria clusters shall achieve SPECint_rate 2006 / GHz peak score within 5% linenarly scaled per core count (multi-core),P2_Normal,Backlog,5/23/2025,,Shall be within 5% of linear scaling
IPFEAT-390,IP Feature,PRD [Perf] Alexandria clusters shall have less than a 20% SPEC score degradation as compared to single core performance.,P0_Showstopper,Backlog,5/23/2025,,Alexandria clusters shall have less than a 20% SPEC score degradation as compared to single core performance.
IPFEAT-273,IP Feature,PRD [Perf] Alexandria CPU core shall achieve at least 2.1 SPECint2017 / GHz (single core),P2_Normal,Backlog,5/23/2025,,PRD [Perf] Alexandria cores shall achieve at least 2.1 SPECint2017 / GHz (single core)
IPFEAT-271,IP Feature,"PRD [Perf] Alexandria CPU core shall achieve at least 22 SPECint2006 / GHz, peak score (single core)",P2_Normal,Backlog,5/23/2025,,MVP: >20/GHz. ASC = 22 as of 4/25
IPFEAT-253,IP Feature,"PRD [Perf] Alexandria CPU core shall achieve at least 20 SPECint2006 / GHz, base score (single core)",P0_Showstopper,Backlog,5/23/2025,,MVP: >18.2 /GHz SpecINT2k6 without software optimization ASC = 20.44 as of 4/25
IPFEAT-49,IP Feature,"PRD [Perf] Alexandria CPU core shall run at an Fmax minimun of 2.25 GHz sustained frequency in TSMC N3A Vdd = Vnom - 10%, SS, -40C to 125C Tj, Ta max = 105C",P0_Showstopper,Under Review,5/23/2025,,"Per MRD:
Ta = 105°C & Tj = 125°C - To comply with AEC-Q100 Grade 2 (-40°C to 105°C ambient)


shall meet timing closure at 2GHz at -40C to 125C Tj, SS< Vdd = Vnom - 10%V (0.675 N5A)"
IPFEAT-220,IP Feature,PRD [Perf] Alexandria shall achieve at least 25.27 Dmips / Mhz Dhrystone,P0_Showstopper,Backlog,5/23/2025,,"25.27 Dmips/MHz


When conducting benchmarks it is open to turn off safety mechanism

For reference:

||*Benchmark*||*A720 Score*||*Alexandria Score*||
|Dhrystone/MHz|~13.6|>9.5 (ASC -5% max)|
|SPECint 2006 / GHz|17.2|>17.9 (ASC -5% max)|"
IPFEAT-386,IP Feature,"PRD [Power] Alexandria Static Power (including leakage) should be less than 1.2W (Dhrystone), 2.1W (Virus) for 1 CPU core + 1/8 SC",P1_Major,Backlog,5/23/2025,,"Alexandria Static Power (including leakage) should be less than 1.2W (Dhrystone), 2.1W (Virus) for 1 CPU core + 1/8 SC"
IPFEAT-385,IP Feature,"PRD [Power] Alexandria Static Power (including leakage) shall be less than 1.69 W (Dhrystone), 3.4 W (Virus) for 1 CPU core + 1/8 SC",P0_Showstopper,Backlog,5/23/2025,,"Alexandria Static Power (including leakage) shall be less than 1.69 W (Dhrystone), 3.4 W (Virus) for 1 CPU core + 1/8 SC"
IPFEAT-274,IP Feature,PRD [Process Node]    Alexandria Fmax should be greater than 2.375 GHz on SF4X,P2_Normal,Backlog,5/23/2025,,Shall be within 3-5% of Ascalon D8 under same technology node
IPFEAT-278,IP Feature,PRD [Process Node] Alexandria core area as compared to Ascalon D8,P2_Normal,Backlog,4/28/2025,,PRD [Process Node] Alexandria core area as compared to Ascalon D8
IPFEAT-275,IP Feature,PRD [Process Node] Alexandria core power consumption as compared to Ascalon D8,P2_Normal,Backlog,4/30/2025,,PRD [Process Node] Alexandria core power consumption as compared to Ascalon D8
IPFEAT-277,IP Feature,PRD [Process Node] Alexandria Dyhamic Power should be less than 0.40 W/GHz (Dhrystone) and 0.75W/GHz (Virus) for 1 CPU core + 1/8 SC,P1_Major,Backlog,5/30/2025,,P1: -20% reduction compared to Ascalon D8
IPFEAT-276,IP Feature,PRD [Process Node] Alexandria Dynamic Power shall be less than 0.51/GHz (Dhrystone) and 0.95W/GHz (Virus) for 1 CPU core + 1/8 SC,P2_Normal,Backlog,5/23/2025,,P0: +3% reduction compared to Ascalon D8
IPFEAT-281,IP Feature,PRD [Process Node] Alexandria shall target a utilization rate to a minimum of 65% for core and cluster,P2_Normal,Backlog,5/23/2025,,Cluster is expected to increase due to FuSa components
IPFEAT-387,IP Feature,PRD [Process Node] Alexandria shall use the target process node for SOP of TSMC N3A,P0_Showstopper,Backlog,5/23/2025,,Alexandria shall use the target process node for SOP of TSMC N3A
IPFEAT-280,IP Feature,PRD [Process Node] Alexandria single core shall have an area of less than 1.07 mm2 @N3A,P1_Major,Backlog,5/30/2025,,P0: -20% reduction compared to Ascalon D8
IPFEAT-279,IP Feature,PRD [Process Node] Alexandria single core shall have an area of less than 1.39 mm2 @N3A ,P2_Normal,Backlog,5/23/2025,,P0: +4% reduction compared to Ascalon D8
IPFEAT-345,IP Feature,PRD [QoS] Alexandria CPU cores shall implement cbqti RISC-V Capacity and Bandwidth QoS regiser interface,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement cbqti RISC-V Capacity and Bandwidth QoS regiser interface
IPFEAT-344,IP Feature,PRD [QoS] Alexandria CPU cores shall implement ssqosid Quality of Service identifiers.,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement ssqosid Quality of Service identifiers.
IPFEAT-323,IP Feature,PRD [RVA23 Compliance] Alexandria CPU cores shall implement xttzvqdot extension,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement xttzvqdot extension
IPFEAT-322,IP Feature,PRD [RVA23 Compliance] Alexandria CPU cores shall implement smstaten extension,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement smstaten extension
IPFEAT-321,IP Feature,PRD [RVA23 Compliance] Alexandria CPU cores shall implement smmpm extension,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement smmpm extension
IPFEAT-320,IP Feature,PRD [RVA23 Compliance] Alexandria CPU cores shall implement smnpm extension,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement smnpm extension
IPFEAT-319,IP Feature,PRD [RVA23 Compliance] Alexandria CPU cores shall implement writable mtvec (mask = 0xxfffffffffffffffd),P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement writable mtvec (mask = 0xxfffffffffffffffd)
IPFEAT-318,IP Feature,PRD [RVA23 Compliance] Alexandria CPU cores shall implement writable misa (mask = 0x341029),P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement writable misa (mask = 0x341029)
IPFEAT-37,IP Feature,PRD [S/W] The RISC-V Compiler and toolchain for Alexandria shall be qualified to meet ASIL D requirements,P0_Showstopper,Under Review,5/30/2025,,"Qualify software tools

Ensure we utilize qualified open source / commercial tools"
IPFEAT-290,IP Feature,PRD [Schedule] Alexandria devlopment efforts shall adhere to the following Schedule,P2_Normal,Backlog,6/1/2025,,"Beta: Q4 2025 (Oct. 30, 2025) 

LA: Q1 2026 (Jan. 30, 2026)

EA: Q2 2026 (March 30, 2026)

GA: T.B.D"
IPFEAT-343,IP Feature,"PRD [Security Features] Alexandria CPU cores shall implement Reliability, Availability and Serviceability (RAS) to comply with the RISC-V RAS specification.",P0_Showstopper,Backlog,5/23/2025,,"Alexandria CPU cores shall implement Reliability, Availability and Serviceability (RAS) to comply with the RISC-V RAS specification."
IPFEAT-342,IP Feature,PRD [Security Features] Alexandria CPU cores shall support RISC-V security extensions.,P0_Showstopper,Backlog,5/28/2025,,Alexandria CPU cores shall support RISC-V security extensions. (Nothing called out in ASC spec.)
IPFEAT-341,IP Feature,PRD [Security Features] Alexandria CPU cores shall implement physical memory protection (PMP),P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement physical memory protection (PMP)
IPFEAT-340,IP Feature,"PRD [Security Features] Alexandria CPU cores shall support Machine, Hypervisor and Supervisor priveledge modes.",P0_Showstopper,Backlog,5/23/2025,,"Alexandria CPU cores shall support Machine, Hypervisor and Supervisor priveledge modes."
IPFEAT-389,IP Feature,PRD [Security Features] Alexandria shall implement front-end security to mitigate against speculative side channel attacks.,P0_Showstopper,Backlog,5/23/2025,,Alexandria shall implement front-end security to mitigate against speculative side channel attacks.
IPFEAT-289,IP Feature,PRD [Security] Alexandria shall support ISO21434 process for at least threat analysis ,P2_Normal,Backlog,4/28/2025,,Cybersecurity standard for Automotive
IPFEAT-409,IP Feature,"PRD [Software] Alexandria boot & startup code shall implement safe, deterministic power-on and warm-restart routines; early self-tests and hardware diagnostics.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria boot & startup code shall implement safe, deterministic power-on and warm-restart routines; early self-tests and hardware diagnostics."
IPFEAT-408,IP Feature,"PRD [Software] Alexandria HAL shall implement platform-abstraction APIs for peripherals, CSR access, timer, PLIC, and CLINT, adhering to RVA23 CSR layout.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria HAL shall implement platform-abstraction APIs for peripherals, CSR access, timer, PLIC, and CLINT, adhering to RVA23 CSR layout."
IPFEAT-413,IP Feature,PRD [Software] Alexandria memory protection shall implement PMP abstraction layer for isolation and fault containment.,P0_Showstopper,Backlog,6/13/2025,,Alexandria memory protection shall implement PMP abstraction layer for isolation and fault containment.
IPFEAT-411,IP Feature,"PRD [Software] Alexandria safety library shall implement pre-certified (or certifiable) math, memory, and control libraries with fault detection mechanisms.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria safety library shall implement pre-certified (or certifiable) math, memory, and control libraries with fault detection mechanisms."
IPFEAT-410,IP Feature,"PRD [Software] Alexandria safety self-tests shall implement CPU register, PC, ALU, FPU, and memory BISTs (LBIST/MBIST integration hooks).",P0_Showstopper,Backlog,6/13/2025,,"Alexandria safety self-tests shall implement CPU register, PC, ALU, FPU, and memory BISTs (LBIST/MBIST integration hooks)."
IPFEAT-412,IP Feature,"PRD [Software] Alexandria shall support safety RTOS (SafeRTOS, Zephyr with Safety Extension, or AUTOSAR OS); task isolation and watchdog integration.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria shall support safety RTOS (SafeRTOS, Zephyr with Safety Extension, or AUTOSAR OS); task isolation and watchdog integration."
IPFEAT-417,IP Feature,"PRD [Software] Alexandria software configuration shall implement a YAML/JSON-based configuration layer for soft IP integration, allowing adaptation to different system instances.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software configuration shall implement a YAML/JSON-based configuration layer for soft IP integration, allowing adaptation to different system instances."
IPFEAT-415,IP Feature,"PRD [Software] Alexandria software diagnostoic framework shall implement APIs for runtime diagnostics, including end-to-end communication tests, CRCs, heartbeat monitors, etc.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software diagnostoic framework shall implement APIs for runtime diagnostics, including end-to-end communication tests, CRCs, heartbeat monitors, etc."
IPFEAT-414,IP Feature,"PRD [Software] Alexandria software interrupt architecture shall implement a configurable interrupt handler framework supporting CLINT and APLIC with nesting, masking, and determinism.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software interrupt architecture shall implement a configurable interrupt handler framework supporting CLINT and APLIC with nesting, masking, and determinism."
IPFEAT-416,IP Feature,"PRD [Software] Alexandria software logging and traceability shall implement structured logging for safety events, with optional trace instrumentation points.",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software logging and traceability shall implement structured logging for safety events, with optional trace instrumentation points."
IPFEAT-427,IP Feature,PRD [Software] Alexandria software shall be compatible with `newlib` or other lightweight C runtime libraries,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall be compatible with `newlib` or other lightweight C runtime libraries
IPFEAT-426,IP Feature,PRD [Software] Alexandria software shall be compatible with GCC and LLVM RISC-V toolchains,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall be compatible with GCC and LLVM RISC-V toolchains
IPFEAT-429,IP Feature,PRD [Software] Alexandria software shall be testable with RISCOF/ISA validation software,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall be testable with RISCOF/ISA validation software
IPFEAT-430,IP Feature,"PRD [Software] Alexandria software shall expose debug-visible state (PC, privilege level) to firmware/software tools",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software shall expose debug-visible state (PC, privilege level) to firmware/software tools"
IPFEAT-421,IP Feature,PRD [Software] Alexandria software shall implement Zifencei Required to ensure software can manage instruction cache coherency,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall  implement Zifencei Required to ensure software can manage instruction cache coherency
IPFEAT-420,IP Feature,"PRD [Software] Alexandria software shall implement Zicsr Required for CSR manipulation (e.g., `mstatus`, `mie`) from software",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software shall  implement Zicsr Required for CSR manipulation (e.g., `mstatus`, `mie`) from software"
IPFEAT-419,IP Feature,"PRD [Software] Alexandria software shall implement M-extension (for `mul`, `div`, etc.) Required for full compiler math support",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software shall  implement M-extension (for `mul`, `div`, etc.) Required for full compiler math support"
IPFEAT-418,IP Feature,"PRD [Software] Alexandria software shall implement RV32I Base Integer ISA‚ Required, for compiling and running C code",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software shall implement RV32I Base Integer ISA‚ Required, for compiling and running C code"
IPFEAT-431,IP Feature,"PRD [Software] Alexandria software shall include a programmer manual (CSR list, trap behavior, privilege details)",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software shall include a programmer manual (CSR list, trap behavior, privilege details)"
IPFEAT-432,IP Feature,PRD [Software] Alexandria software shall provide software examples and toolchain integration guide,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall provide software examples and toolchain integration guide
IPFEAT-424,IP Feature,"PRD [Software] Alexandria software shall support atomic word access (AMO swap, compare-and-swap) Required for software synchronization",P0_Showstopper,Backlog,6/13/2025,,"Alexandria software shall support atomic word access (AMO swap, compare-and-swap) Required for software synchronization"
IPFEAT-425,IP Feature,PRD [Software] Alexandria software shall support for misaligned memory access handling via trap Ensures compliant compiler behavior,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall support for misaligned memory access handling via trap Ensures compliant compiler behavior
IPFEAT-428,IP Feature,PRD [Software] Alexandria software shall support interrupt and timer handler software,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall support interrupt and timer handler software
IPFEAT-422,IP Feature,PRD [Software] Alexandria software shall support Machine mode (M-mode) Base requirement for bare-metal and RTOS software,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall support Machine mode (M-mode) Base requirement for bare-metal and RTOS software
IPFEAT-423,IP Feature,PRD [Software] Alexandria software shall support trap/interrupt handling in M-mode Required to write handlers in C/assembly,P0_Showstopper,Backlog,6/13/2025,,Alexandria software shall support trap/interrupt handling in M-mode Required to write handlers in C/assembly
IPFEAT-326,IP Feature,PRD [Superscalar Execution] Alexandria CPU cores shall support advanced branch prediction.,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall support advanced branch prediction.
IPFEAT-325,IP Feature,PRD [Superscalar Execution] Alexandria CPU cores shall support out-of-order execution with register renaming and speculative execution.,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall support out-of-order execution with register renaming and speculative execution.
IPFEAT-324,IP Feature,"PRD [Superscalar Execution] Alexandria CPU cores shall fetch, decode and execute multiple instructions per clock cycle",P0_Showstopper,Backlog,5/23/2025,,"Alexandria CPU cores shall fetch, decode and execute multiple instructions per clock cycle"
IPFEAT-300,IP Feature,PRD [SW] Alexandria shall support Android Auto wrt architectural components,P2_Normal,Backlog,5/23/2025,,PRD [SW] Alexandria shall support Android Auto wrt architectural components
IPFEAT-298,IP Feature,PRD [SW] Alexandria shall support automotive grade Linux (AGL) wrt architectural components,P2_Normal,Backlog,5/23/2025,,PRD [SW] Alexandria shall support automotive grade Linux (AGL) wrt architectural components
IPFEAT-299,IP Feature,PRD [SW] Alexandria shall support QNX wrt architectural components,P2_Normal,Backlog,5/23/2025,,PRD [SW] Alexandria shall support QNX wrt architectural components
IPFEAT-303,IP Feature,PRD [SW] All necessary drivers for Alexandria core and cluster components shall be provided within the Alexandria BSP.,P2_Normal,Backlog,4/30/2025,,PRD [SW] All necessary drivers for Alexandria core and cluster components shall be provided within the Alexandria BSP.
IPFEAT-352,IP Feature,PRD [SW] An Alexandria Software Development Kit (SDK) shall be produced.,P0_Showstopper,Backlog,5/23/2025,,An Alexandria Software Development Kit (SDK) shall be produced.
IPFEAT-302,IP Feature,PRD [SW] Secure boot process flow and assets shall be provided witihin the Alexandria SDK,P2_Normal,Backlog,4/30/2025,,PRD [SW] Secure boot process flow and assets shall be provided witihin the Alexandria SDK
IPFEAT-376,IP Feature,PRD [Testability] Alexandria shall support Design for Testability (DFT),P0_Showstopper,Backlog,5/23/2025,,Alexandria shall support Design for Testability (DFT)
IPFEAT-332,IP Feature,PRD [Vector Processing Unit] Alexandria CPU cores shall implement a vector processing unit supporting the RISC-V Vector (V) extension.,P0_Showstopper,Backlog,5/23/2025,,Alexandria CPU cores shall implement a vector processing unit supporting the RISC-V Vector (V) extension.
IPFEAT-296,IP Feature,PRD [Verif] Alexandria shall have a emulator reference flow in Zebu,P2_Normal,Backlog,4/30/2025,,PRD [Verif] Alexandria shall have a emulator reference flow in Zebu
IPFEAT-297,IP Feature,PRD [Verif] Alexandria shall have a prototyping reference flow in HAPs,P2_Normal,Backlog,4/30/2025,,PRD [Verif] Alexandria shall have a prototyping reference flow in HAPs
IPFEAT-295,IP Feature,PRD [Verif] Alexandria shall have a unit-level test of at minimun the 4-core cluster,P2_Normal,Backlog,5/23/2025,,Sam?? Product shall have a unit-level test of 4-core cluster
IPFEAT-377,IP Feature,PRD [Verification] Alexandria shall be rigorously verified using formal and simulation.,P0_Showstopper,Backlog,5/23/2025,,Alexandria shall be rigorously verified using formal and simulation.
IPFEAT-379,IP Feature,PRD [Verification] Alexandria shall leverage UVM-based verification envoronment.,P0_Showstopper,Backlog,5/23/2025,,Alexandria shall leverage UVM-based verification envoronment.
IPFEAT-378,IP Feature,PRD [Verification] Alexandria shall use ISO 26262 compliant verification process.,P0_Showstopper,Backlog,5/23/2025,,Alexandria shall use ISO 26262 compliant verification process.
IPFEAT-310,IP Feature,PRD: Alexandria Cluster Power Management Logic (CPL) shall meet ASIL-D reqs,P2_Normal,Backlog,5/29/2025,,"  Alexandria shall implement a power management unit 
Decision needed, in cluster our outside of cluster?"
