Marketing Requirement ID,Requirement Type,Requirement Description,Applicability,Topic,Requirement Hardware ASIL,Priority,Requirement Kind,Requirement CrossLink(s),JIRA Status,JIRA Title Match,Requirement Status,Notes,Requirement Systematic ASIL,Requirement Systematic SIL,Requirement Hardware SIL,Requirement Parent(s),Requirement Children,Evidence,Date Modified,Revision,Ticket Link(s),Verification Link(s),Change Request Link(s)
,Product Requirement (PRD),Alexandria Dyhamic Power should be less than 0.40 W/GHz (Dhrystone) and 0.75W/GHz (Virus) for 1 CPU core + 1/8 SC,Non-functional,Power,,P1,Shall,IPFEAT-277,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria single core shall have an area of less than 1.39 mm2 @N3A,Non-functional,Area,,P0,Shall,IPFEAT-279,Backlog,Match,Proposed,P0: 4% increase compared to Ascalon D8 - Core is expected to increase due to FuSa components,,,,,,,,,,,
,Product Requirement (PRD),Alexandria single core shall have an area of less than 1.07 mm2 @N3A,Non-functional,Area,,P1,Shall,IPFEAT-280,Backlog,Match,Proposed,P1: -20% reduction compared to Ascalon D8,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall target a utilization rate to a minimum of 65% for core and cluster,Non-functional,Area,,P0,Shall,IPFEAT-281,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall use the target process node for SOP of TSMC N3A,Non-functional,Process Node,,P0,Shall,IPFEAT-387,Backlog,Match,Proposed,,,,,,,,,,,,
MRD-008,Product Requirement (PRD),Alexandria shall use the target process node for SOP of TSMC N5A,Non-functional,Process Node,,P1,Shall,IPFEAT-254,Backlog,Match,Proposed,Scaled,,,,,,,,,,,
,Product Requirement (PRD),Alexandria may use the target process node for SOP of TSMC N4,Non-functional,Process Node,,P2,Shall,IPFEAT-255,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria may use the target process node for SOP of TSMC N7A,Non-functional,Process Node,,P2,Shall,IPFEAT-256,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall have a unit-level test of at minimun the 4-core cluster,Non-functional,Verification,,P0,Shall,IPFEAT-295,Backlog,Match,Proposed,"Alexandria shall be available for General Access (GA) deployment no later than TBD, 2026",,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall have a emulator reference flow in Zebu,Non-functional,Verification,,P0,Shall,IPFEAT-296,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall have a prototyping reference flow in HAPs,Non-functional,Verification,,P0,Shall,IPFEAT-297,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall be rigorously verified using formal and simulation.,Non-functional,Verification,,P0,Shall,IPFEAT-377,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall use ISO 26262 compliant verification process.,Non-functional,Verification,,P0,Shall,IPFEAT-378,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall leverage UVM-based verification envoronment.,Non-functional,Verification,,P0,Shall,IPFEAT-379,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),Alexandria documentation shall be made avaialble to end-user ,Non-functional,Deliverables,,P0,Shall,IPFEAT-308,Backlog,Match,Proposed,Check with Sai,,,,,,,,,,,
,Product Requirement (PRD),Alexandria shall be fully synthesizable RTL soft IP,Non-functional,Deliverables,,P0,Shall,IPFEAT-305,Backlog,Match,Proposed,See IPPROD-343 for complete list,,,,,,,,,,,
,Product Requirement (PRD),Verification testbench and test cases shall be made available to end-user,Non-functional,Deliverables,,P0,Shall,IPFEAT-380,Backlog,Match,Proposed,What testbenches and test caese?,,,,,,,,,,,
,Product Requirement (PRD),Synthesis scripts and timing constraints shall be made available to end-user,Non-functional,Deliverables,,P0,Shall,IPFEAT-381,Backlog,Match,Proposed,Which vendor?,,,,,,,,,,,
,Product Requirement (PRD),Software Development Kit (SDK) and toolchain shall be made available to end-user,Non-functional,Deliverables,,P0,Shall,IPFEAT-382,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),ISO 26262 Compliance reports shall be be made available to end-user,Non-functional,Deliverables,,P0,Shall,IPFEAT-383,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Safety analysis reports (FMEDA, DFA) shall be be made available to end-user",Non-functional,Deliverables,,P0,Shall,IPFEAT-384,Backlog,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),,Non-functional,Deliverables,,,,,,No match,Proposed,Additional Security Deliverables?,,,,,,,,,,,
MRD-020,Product Requirement (PRD),Alexandria shall be developed with AEC-Q100 Grade 2 qualification process as applicable to soft IP (Reliability),Non-functional,Other,,P0,Shall,IPFEAT-307,Backlog,Match,Proposed,Applicable as needed,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria shall be available for Beta deployment no later than Oct. 30, 2025",Schedule,,,P0,Shall,IPFEAT-291,Draft,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria shall be available for Limited Access (LA) deployment no later than Jan. 30, 2026",Schedule,,,P0,Shall,IPFEAT-292,Draft,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria shall be available for Early Access (EA) deployment no later than March 30, 2026",Schedule,,,P0,Shall,IPFEAT-293,Draft,Match,Proposed,,,,,,,,,,,,
,Product Requirement (PRD),"Alexandria shall be available for General Access (GA) deployment no later than TBD, 2026",Schedule,,,P0,Shall,IPFEAT-294,Draft,Match,Proposed,,,,,,,,,,,,
